GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,SupraShiftDetailsDTO,515,0,102,0,13,0,80,0,29,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,AttendanceMoafDTO,835,0,166,0,21,0,128,0,45,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,UserDTO,315,0,62,0,8,0,50,0,19,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,SupraShiftDTO,595,0,118,0,15,0,92,0,33,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,AttendanceMOAFDataRequestDTO,221,0,40,0,6,0,35,0,15,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,ShiftRosterRequestDTO,233,0,36,0,7,0,35,0,17,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,FetchUserShiftAssignHistoryReturnDataDTO,126,0,0,0,15,0,26,0,26,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,UserDetailDTO,208,0,38,0,11,0,32,0,13,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,ShiftEmployeeDTO,98,0,4,0,15,0,20,0,18,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.attendance,RosterRemarkDTO,555,0,110,0,14,0,86,0,31,0
HR Management,com.atomicnorth.hrm.tenant.service.keycloak.role,KeycloakRoleService,1130,0,103,0,226,0,71,0,17,0
HR Management,com.atomicnorth.hrm.tenant.service.keycloak.role,KeycloakRoleAssignToUserService,379,0,18,0,82,0,19,0,10,0
HR Management,com.atomicnorth.hrm.tenant.domain.company,Ses_M00_Set_Up_Company,1375,0,254,0,35,0,196,0,69,0
HR Management,com.atomicnorth.hrm.tenant.domain.company,Ses_M00_Set_Up_Company.Ses_M00_Set_Up_CompanyBuilder,288,0,0,0,1,0,34,0,34,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.employement.viewDTO,EmpDocumentViewTabDTO,395,0,78,0,10,0,62,0,23,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.employement.viewDTO,GroupDTO,215,0,38,0,12,0,33,0,14,0
HR Management,com.atomicnorth.hrm.tenant.service.dto.employement.viewDTO,EmployeeSkillViewDTO,795,0,158,0,20,0,122,0,43,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,ApplicationModule,1915,0,382,0,48,0,290,0,99,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,UserRole,1795,0,358,0,45,0,272,0,93,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,Role,2195,0,438,0,55,0,332,0,113,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,FunctionEntity,2035,0,406,0,51,0,308,0,105,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,Application,395,0,78,0,10,0,62,0,23,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,FeatureFunction,1875,0,374,0,47,0,284,0,97,0
HR Management,com.atomicnorth.hrm.tenant.domain.roles,RolePermissions,1955,0,390,0,49,0,296,0,101,0
HR Management,com.atomicnorth.hrm.tenant.service.lookup,LookupTypeConfigurationService,1230,0,88,0,229,0,68,0,24,0
HR Management,com.atomicnorth.hrm.tenant.service.mail,EmailService,73,0,6,0,19,0,6,0,3,0
HR Management,com.atomicnorth.hrm.tenant.web.rest.jobOpening,JobOpeningController,1165,0,20,0,204,0,37,0,27,0
HR Management,com.atomicnorth.hrm.tenant.web.rest.jobOpening,JobOfferTermsController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
HR Management,com.atomicnorth.hrm.tenant.web.rest.jobOpening,JobOfferTermsController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
HR Management,com.atomicnorth.hrm.tenant.web.rest.jobOpening,JobOfferTermsController,529,0,40,0,112,0,30,0,10,0
HR Management,com.atomicnorth.hrm.exception,ProjectConfigOld,7,0,0,0,2,0,2,0,2,0
